R=500  K=20  area_points=1600  ESS_threshold=0.75
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
100 1 A3_local 296 204 0.963729 2.175260 1.211531 1.211531 0.133053
100 2 A3_local 296 204 1.048048 2.187513 1.139465 1.139465 0.147477
100 3 A3_local 296 204 0.853327 1.679070 0.825744 0.825744 0.081143
100 4 A3_local 296 204 1.056315 2.104813 1.048498 1.048498 0.102473
100 5 A3_local 296 204 1.142436 2.343504 1.201068 1.201068 0.143972
100 6 A3_local 296 204 1.015579 2.194486 1.178907 1.178907 0.126878
100 7 A3_local 296 204 1.034811 2.057365 1.022554 1.022554 0.085082
100 8 A3_local 296 204 1.116731 2.258525 1.141794 1.141794 0.093948
100 9 A3_local 296 204 0.907326 1.828301 0.920976 0.920976 0.077636
100 10 A3_local 296 204 0.975975 1.966470 0.990495 0.990495 0.085420
100 11 A3_local 296 204 1.074475 2.263776 1.189300 1.189300 0.101830
100 12 A3_local 296 204 1.152547 2.395555 1.243008 1.243008 0.124936
100 13 A3_local 296 204 1.009140 2.013290 1.004149 1.004149 0.082489
100 14 A3_local 296 204 0.949073 1.831826 0.882752 0.882752 0.070543
100 15 A3_local 296 204 1.018077 2.067643 1.049567 1.049567 0.093706
100 16 A3_local 296 204 1.071896 2.114189 1.042294 1.042294 0.083871
100 17 A3_local 296 204 1.086206 2.133923 1.047718 1.047718 0.083355
100 18 A3_local 296 204 0.991479 1.893999 0.902520 0.902520 0.072773
100 19 A3_local 296 204 0.989433 1.970974 0.981542 0.981542 0.080592
100 20 A3_local 296 204 1.023434 1.974439 0.951005 0.951005 0.074011
100 1 A4_full 212 288 0.923424 1.251496 0.328073 0.328073 0.074234
100 2 A4_full 212 288 1.040437 1.435178 0.394741 0.394741 0.076149
100 3 A4_full 212 288 0.803689 1.293581 0.489892 0.489892 0.068073
100 4 A4_full 212 288 1.063795 1.662207 0.598411 0.598411 0.074784
100 5 A4_full 212 288 1.034509 1.690045 0.655536 0.655536 0.080006
100 6 A4_full 212 288 0.953366 1.571870 0.618503 0.618503 0.065549
100 7 A4_full 212 288 1.003439 1.679740 0.676302 0.676302 0.076207
100 8 A4_full 212 288 1.020553 1.647239 0.626686 0.626686 0.058402
100 9 A4_full 212 288 0.912459 1.550584 0.638125 0.638125 0.070321
100 10 A4_full 212 288 0.932843 1.528526 0.595683 0.595683 0.067061
100 11 A4_full 212 288 1.000522 1.739843 0.739321 0.739321 0.072980
100 12 A4_full 212 288 1.100690 1.848559 0.747869 0.747869 0.086045
100 13 A4_full 212 288 1.068245 1.746420 0.678175 0.678175 0.062703
100 14 A4_full 212 288 0.945749 1.605749 0.660000 0.660000 0.070443
100 15 A4_full 212 288 0.962778 1.633993 0.671215 0.671215 0.067607
100 16 A4_full 212 288 1.038622 1.708684 0.670062 0.670062 0.073621
100 17 A4_full 212 288 1.042235 1.698825 0.656591 0.656591 0.065406
100 18 A4_full 212 288 1.033490 1.671630 0.638140 0.638140 0.064610
