R=20  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
100 1 A3_local 13 7 1.052872 1.742822 0.689950 0.689950 0.249975
100 2 A3_local 13 7 1.190639 2.849218 1.658579 1.658579 0.939149
100 3 A3_local 13 7 0.858183 1.629311 0.771129 0.771129 0.272679
100 4 A3_local 13 7 1.101466 2.326891 1.225425 1.225425 0.268648
100 5 A3_local 13 7 0.946342 1.915625 0.969284 0.969284 0.262142
100 6 A3_local 13 7 0.668948 1.608027 0.939079 0.939079 0.265646
100 7 A3_local 13 7 1.337126 2.422300 1.085175 1.085175 0.369487
100 8 A3_local 13 7 1.299535 3.240439 1.940904 1.940904 0.641979
100 9 A3_local 13 7 0.925243 2.014053 1.088810 1.088810 0.239457
100 10 A3_local 13 7 1.011548 2.367059 1.355512 1.355512 0.589595
100 11 A3_local 13 7 0.568148 1.010082 0.441934 0.441934 0.187689
100 12 A3_local 13 7 1.008765 2.005441 0.996677 0.996677 0.208644
100 13 A3_local 13 7 0.685662 1.681090 0.995428 0.995428 0.367769
100 14 A3_local 13 7 1.097942 2.547780 1.449838 1.449838 0.350862
100 15 A3_local 13 7 0.999248 2.529691 1.530443 1.530443 0.630765
100 16 A3_local 13 7 1.047725 2.726282 1.678557 1.678557 0.495287
100 17 A3_local 13 7 0.909274 2.232098 1.322824 1.322824 0.392387
100 18 A3_local 13 7 1.328343 2.954219 1.625876 1.625876 0.632211
100 19 A3_local 13 7 0.707610 1.546690 0.839080 0.839080 0.336442
100 20 A3_local 13 7 0.938342 2.185542 1.247200 1.247200 0.381277
100 1 A4_full 5 15 1.536289 1.759943 0.223654 0.223654 0.241291
100 2 A4_full 5 15 0.815525 1.030360 0.214835 0.214835 0.176133
100 3 A4_full 5 15 0.365411 0.834987 0.469576 0.469576 0.226372
100 4 A4_full 5 15 0.755630 1.790924 1.035294 1.035294 0.287349
100 5 A4_full 5 15 0.975472 1.661183 0.685711 0.685711 0.306413
100 6 A4_full 5 15 0.625818 1.622429 0.996611 0.996611 0.539096
100 7 A4_full 5 15 0.576937 1.157768 0.580831 0.580831 0.294376
100 8 A4_full 5 15 1.301146 2.514290 1.213144 1.213144 0.759547
100 9 A4_full 5 15 0.688748 1.484160 0.795411 0.795411 0.423813
100 10 A4_full 5 15 1.100559 2.195785 1.095227 1.095227 0.890832
100 11 A4_full 5 15 0.650228 1.054997 0.404769 0.404769 0.262128
100 12 A4_full 5 15 0.584593 0.952724 0.368130 0.368130 0.175912
100 13 A4_full 5 15 0.699377 1.435579 0.736202 0.736202 0.326600
100 14 A4_full 5 15 1.534711 2.680165 1.145455 1.145455 0.501513
100 15 A4_full 5 15 0.684024 1.249374 0.565350 0.565350 0.256779
100 16 A4_full 5 15 1.522902 2.723821 1.200919 1.200919 0.848114
100 17 A4_full 5 15 0.598298 1.079501 0.481203 0.481203 0.274663
100 18 A4_full 5 15 0.867895 1.397801 0.529906 0.529906 0.236946
100 19 A4_full 5 15 0.779061 1.442709 0.663649 0.663649 0.590239
100 20 A4_full 5 15 1.113949 1.536376 0.422427 0.422427 0.272086
100 1 A5_empirical_optimal 20 0 0.981617 0.924100 -0.057518 0.057518 0.131001
100 2 A5_empirical_optimal 20 0 1.315387 1.262826 -0.052561 0.052561 0.178221
100 3 A5_empirical_optimal 20 0 0.834986 0.784115 -0.050871 0.050871 0.132433
100 4 A5_empirical_optimal 20 0 1.329369 1.315163 -0.014206 0.014206 0.167120
100 5 A5_empirical_optimal 20 0 1.173789 1.215055 0.041266 0.041266 0.156026
100 6 A5_empirical_optimal 20 0 0.859933 0.961592 0.101660 0.101660 0.126446
100 7 A5_empirical_optimal 20 0 1.456614 1.616533 0.159919 0.159919 0.110993
100 8 A5_empirical_optimal 20 0 1.288735 1.531251 0.242516 0.242516 0.118641
100 9 A5_empirical_optimal 20 0 0.803225 1.008751 0.205526 0.205526 0.112568
100 10 A5_empirical_optimal 20 0 1.245149 1.597985 0.352836 0.352836 0.097477
