R=500  K=20  area_points=1600  ESS_threshold=0.75  M_prop=20  statistic=C_post=|D(X_s_k^+)|
N k algorithm success collapse mean_true_paired mean_PF bias abs_bias paired_MCSE
100 1 A3_local 296 204 6.987120 9.570150 2.583030 2.583030 0.405979
100 2 A3_local 296 204 10.065456 15.727577 5.662121 5.662121 0.501103
100 3 A3_local 296 204 11.610642 19.625927 8.015285 8.015285 0.545496
100 4 A3_local 296 204 13.405828 23.351674 9.945846 9.945846 0.645185
100 5 A3_local 296 204 14.893159 26.955845 12.062686 12.062686 0.682265
100 6 A3_local 296 204 16.286106 29.731300 13.445194 13.445194 0.715726
100 7 A3_local 296 204 17.695735 31.978101 14.282366 14.282366 0.722413
100 8 A3_local 296 204 18.997044 34.019687 15.022643 15.022643 0.693385
100 9 A3_local 296 204 19.774493 35.728802 15.954309 15.954309 0.698458
100 10 A3_local 296 204 20.322424 37.644123 17.321699 17.321699 0.705452
100 11 A3_local 296 204 21.497466 39.218855 17.721388 17.721388 0.732213
100 12 A3_local 296 204 22.312500 40.959721 18.647221 18.647221 0.706173
100 13 A3_local 296 204 23.140414 42.455025 19.314611 19.314611 0.738177
100 14 A3_local 296 204 23.866976 43.408406 19.541430 19.541430 0.754942
100 15 A3_local 296 204 24.688345 44.764053 20.075708 20.075708 0.751406
100 16 A3_local 296 204 25.425676 45.944683 20.519007 20.519007 0.758255
100 17 A3_local 296 204 26.216005 46.615953 20.399948 20.399948 0.758456
100 18 A3_local 296 204 26.432221 47.417591 20.985370 20.985370 0.772533
100 19 A3_local 296 204 27.123311 48.099150 20.975839 20.975839 0.755105
100 20 A3_local 296 204 27.536740 49.096875 21.560135 21.560135 0.745028
100 1 A4_full 212 288 7.275943 8.881347 1.605404 1.605404 0.480392
100 2 A4_full 212 288 9.892689 13.971564 4.078876 4.078876 0.534624
100 3 A4_full 212 288 11.280366 17.296995 6.016630 6.016630 0.563551
100 4 A4_full 212 288 13.026238 20.546251 7.520013 7.520013 0.614358
100 5 A4_full 212 288 14.447818 22.854964 8.407146 8.407146 0.649285
100 6 A4_full 212 288 15.621462 24.799477 9.178015 9.178015 0.668011
100 7 A4_full 212 288 16.748526 26.825786 10.077260 10.077260 0.685487
100 8 A4_full 212 288 18.010318 28.434248 10.423930 10.423930 0.666108
100 9 A4_full 212 288 18.807193 30.127127 11.319934 11.319934 0.670387
100 10 A4_full 212 288 19.305130 31.520468 12.215338 12.215338 0.655971
100 11 A4_full 212 288 20.301297 33.059123 12.757826 12.757826 0.699872
